date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:50	26295/26295	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:20:50%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/	html/index.html	(from )
11:20:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:20:50%20GMT	https://web.archive.org/web/20190529201406im_/http://ayadrezk.com/users/images/favicon.png	png/favicon.png	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:20:57	1159/1159	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2018:20:57%20GMT	https://web.archive.org/web/20181201180213im_/http://ayadrezk.com/users/images/favicon.png	png/favicon.png	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:20:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:20:58%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/bootstrap.min.css	delayed/bootstrap.min.2.delayed	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:00	122048/122048	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:20:59%20GMT	https://web.archive.org/web/20181205154447cs_/http://ayadrezk.com/users/css/bootstrap.min.css	css/bootstrap.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:00%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/bootstrap-theme.min.css	css/bootstrap-theme.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:02	23982/23982	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:01%20GMT	https://web.archive.org/web/20181205194327cs_/http://ayadrezk.com/users/css/bootstrap-theme.min.css	css/bootstrap-theme.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:02%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/bootstrap-rtl.min.css	css/bootstrap-rtl.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:04	25475/25475	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:03%20GMT	https://web.archive.org/web/20181205230251cs_/http://ayadrezk.com/users/css/bootstrap-rtl.min.css	css/bootstrap-rtl.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:04%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/block_grid_bootstrap.css	css/block_grid_bootstrap.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:06	10586/10586	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:05%20GMT	https://web.archive.org/web/20181201214904cs_/http://ayadrezk.com/users/css/block_grid_bootstrap.css	css/block_grid_bootstrap.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
